Tournament_Season,Round,Match_ID
tournament_17_season_76986,24,14025128
tournament_17_season_76986,24,14025131
tournament_17_season_76986,24,14025134
tournament_17_season_76986,24,14025137
tournament_17_season_76986,24,14025140
tournament_17_season_76986,24,14025143
tournament_17_season_76986,24,14025146
tournament_17_season_76986,24,14025149
tournament_17_season_76986,24,14025152
tournament_17_season_76986,25,14025158
tournament_17_season_76986,25,14025155
tournament_17_season_76986,25,14025161
tournament_17_season_76986,25,14025164
tournament_17_season_76986,25,14025167
tournament_17_season_76986,25,14025170
tournament_17_season_76986,25,14025173
tournament_17_season_76986,25,14025176
tournament_17_season_76986,25,14025179
tournament_17_season_76986,25,14025182
tournament_17_season_76986,26,14025206
tournament_17_season_76986,26,14025185
tournament_17_season_76986,26,14025188
tournament_17_season_76986,26,14025209
tournament_17_season_76986,26,14025191
tournament_17_season_76986,26,14025212
tournament_17_season_76986,26,14025194
tournament_17_season_76986,26,14025197
tournament_17_season_76986,26,14025200
tournament_17_season_76986,26,14025203
tournament_17_season_76986,27,14025215
tournament_17_season_76986,27,14024006
tournament_17_season_76986,27,14024007
tournament_17_season_76986,27,14024008
tournament_17_season_76986,27,14024009
tournament_17_season_76986,27,14024010
tournament_17_season_76986,27,14024013
tournament_17_season_76986,27,14024011
tournament_17_season_76986,27,14024012
tournament_17_season_76986,27,14023969
tournament_17_season_76986,28,14023971
tournament_17_season_76986,28,14023970
tournament_17_season_76986,28,14023972
tournament_17_season_76986,28,14023975
tournament_17_season_76986,28,14023973
tournament_17_season_76986,28,14023974
tournament_17_season_76986,28,14023976
tournament_17_season_76986,28,14023978
tournament_17_season_76986,28,14023977
tournament_17_season_76986,28,14023979
tournament_17_season_76986,29,14023986
tournament_17_season_76986,29,14023980
tournament_17_season_76986,29,14023933
tournament_17_season_76986,29,14023941
tournament_17_season_76986,29,14023947
tournament_17_season_76986,29,14023982
tournament_17_season_76986,29,14023984
tournament_17_season_76986,29,14023983
tournament_17_season_76986,29,14023981
tournament_17_season_76986,29,14023985
tournament_17_season_76986,30,14023987
tournament_17_season_76986,30,14023989
tournament_17_season_76986,30,14023988
tournament_17_season_76986,30,14023990
tournament_17_season_76986,30,14023991
tournament_17_season_76986,30,14023992
tournament_17_season_76986,30,14023994
tournament_17_season_76986,30,14023995
tournament_17_season_76986,30,14023996
tournament_17_season_76986,30,14023993
tournament_17_season_76986,31,14024014
tournament_17_season_76986,31,14023997
tournament_17_season_76986,31,14024015
tournament_17_season_76986,31,14024017
tournament_17_season_76986,31,14024016
tournament_17_season_76986,31,14024018
tournament_17_season_76986,31,14024019
tournament_17_season_76986,31,14024021
tournament_17_season_76986,31,14024020
tournament_17_season_76986,31,14025018
tournament_17_season_76986,32,14025021
tournament_17_season_76986,32,14025022
tournament_17_season_76986,32,14024002
tournament_17_season_76986,32,14023998
tournament_17_season_76986,32,14023999
tournament_17_season_76986,32,14024000
tournament_17_season_76986,32,14025024
tournament_17_season_76986,32,14025025
tournament_17_season_76986,32,14025026
tournament_17_season_76986,32,14025029
tournament_17_season_76986,33,14025030
tournament_17_season_76986,33,14025031
tournament_17_season_76986,33,14025032
tournament_17_season_76986,33,14025034
tournament_17_season_76986,33,14025035
tournament_17_season_76986,33,14025036
tournament_17_season_76986,33,14025039
tournament_17_season_76986,33,14025040
tournament_17_season_76986,33,14025041
tournament_17_season_76986,33,14025042
tournament_17_season_76986,34,14025045
tournament_17_season_76986,34,14025044
tournament_17_season_76986,34,14024001
tournament_17_season_76986,34,14024003
tournament_17_season_76986,34,14024004
tournament_17_season_76986,34,14024005
tournament_17_season_76986,34,14023926
tournament_17_season_76986,34,14023932
tournament_17_season_76986,34,14023934
tournament_17_season_76986,34,14024022
tournament_17_season_76986,35,14023931
tournament_17_season_76986,35,14023927
tournament_17_season_76986,35,14024023
tournament_17_season_76986,35,14023945
tournament_17_season_76986,35,14023925
tournament_17_season_76986,35,14023930
tournament_17_season_76986,35,14023940
tournament_17_season_76986,35,14023939
tournament_17_season_76986,35,14023949
tournament_17_season_76986,35,14023951
tournament_17_season_76986,36,14023935
